PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare
872,1,1,1,47,1,1,52
873,0,1,0,33,0,0,5
874,0,3,0,47,0,0,9
875,1,2,1,28,1,0,24
876,1,3,1,15,0,0,7
877,0,3,0,20,0,0,9
878,0,3,0,19,0,0,7
879,0,3,0,30,0,0,7
880,1,1,1,56,0,1,83
881,1,2,1,25,0,1,26
882,0,3,0,33,0,0,7
883,0,3,1,22,0,0,10
884,0,2,0,28,0,0,10
885,0,3,0,25,0,0,7
886,0,3,1,39,0,5,29
887,0,2,0,27,0,0,13
888,1,1,1,19,0,0,30
889,0,3,1,30,1,2,23
890,1,1,0,26,0,0,30
891,0,3,0,32,0,0,7
